domain,path,status
sub1.yourdomainhere.com,/click,200
sub1.yourdomainhere.com,/,200
sub1.yourdomainhere.com,/api-catalog,200
sub1.yourdomainhere.com,/api/status,200
sub2.yourdomainhere.com,/click,200
sub2.yourdomainhere.com,/,200
sub2.yourdomainhere.com,/api/status,200
sub2.yourdomainhere.com,/api-catalog,200
sub3.yourdomainhere.com,/click,200
sub4.yourdomainhere.com,/api-catalog,200
sub4.yourdomainhere.com,/,200
sub3.yourdomainhere.com,/api-catalog,200
sub3.yourdomainhere.com,/api/status,200
sub3.yourdomainhere.com,/,200
sub4.yourdomainhere.com,/click,200
sub5.yourdomainhere.com,/api-catalog,200
sub5.yourdomainhere.com,/,200
sub4.yourdomainhere.com,/api/status,200
sub6.yourdomainhere.com,/api/status,200
sub5.yourdomainhere.com,/click,200
sub6.yourdomainhere.com,/click,200
sub5.yourdomainhere.com,/api/status,200
sub6.yourdomainhere.com,/api-catalog,200
sub7.yourdomainhere.com,/,200
sub6.yourdomainhere.com,/,200
sub7.yourdomainhere.com,/api/status,200
sub7.yourdomainhere.com,/api-catalog,200
sub8.yourdomainhere.com,/,200
sub8.yourdomainhere.com,/click,200
sub7.yourdomainhere.com,/click,200
sub8.yourdomainhere.com,/api-catalog,200
sub8.yourdomainhere.com,/api/status,200
sub9.yourdomainhere.com,/api-catalog,200
sub9.yourdomainhere.com,/,200
sub9.yourdomainhere.com,/api/status,200
sub10.yourdomainhere.com,/,200
sub9.yourdomainhere.com,/click,200
sub10.yourdomainhere.com,/click,200
sub10.yourdomainhere.com,/api/status,200
sub11.yourdomainhere.com,/click,200
sub11.yourdomainhere.com,/,200
sub10.yourdomainhere.com,/api-catalog,200
sub11.yourdomainhere.com,/api/status,200
sub11.yourdomainhere.com,/api-catalog,200
sub12.yourdomainhere.com,/,200
sub12.yourdomainhere.com,/api-catalog,200
sub13.yourdomainhere.com,/api/status,200
sub12.yourdomainhere.com,/click,200
sub12.yourdomainhere.com,/api/status,200
sub13.yourdomainhere.com,/,200
sub14.yourdomainhere.com,/,200
sub13.yourdomainhere.com,/click,200
sub14.yourdomainhere.com,/api-catalog,200
sub13.yourdomainhere.com,/api-catalog,200
sub14.yourdomainhere.com,/api/status,200
sub15.yourdomainhere.com,/,200
sub15.yourdomainhere.com,/api-catalog,200
sub14.yourdomainhere.com,/click,200
sub15.yourdomainhere.com,/click,200
sub16.yourdomainhere.com,/,200
sub15.yourdomainhere.com,/api/status,200
sub16.yourdomainhere.com,/api/status,200
sub16.yourdomainhere.com,/click,200
sub16.yourdomainhere.com,/api-catalog,200
sub17.yourdomainhere.com,/api/status,200
sub17.yourdomainhere.com,/click,200
sub17.yourdomainhere.com,/,200
sub18.yourdomainhere.com,/,200
sub17.yourdomainhere.com,/api-catalog,200
sub18.yourdomainhere.com,/click,200
sub18.yourdomainhere.com,/api-catalog,200
sub18.yourdomainhere.com,/api/status,200
sub1.yourdomainhere.com,/lander,200
sub19.yourdomainhere.com,/api-catalog,200
sub19.yourdomainhere.com,/api/status,200
sub19.yourdomainhere.com,/,200
sub20.yourdomainhere.com,/click,200
sub20.yourdomainhere.com,/api/status,200
sub20.yourdomainhere.com,/,200
sub19.yourdomainhere.com,/click,200
sub21.yourdomainhere.com,/,200
sub20.yourdomainhere.com,/api-catalog,200
sub21.yourdomainhere.com,/api/status,200
sub21.yourdomainhere.com,/click,200
sub2.yourdomainhere.com,/lander,200
sub22.yourdomainhere.com,/,200
sub21.yourdomainhere.com,/api-catalog,200
sub22.yourdomainhere.com,/api/status,200
sub22.yourdomainhere.com,/click,200
sub22.yourdomainhere.com,/api-catalog,200
sub23.yourdomainhere.com,/,200
sub24.yourdomainhere.com,/api/status,200
sub23.yourdomainhere.com,/click,200
sub24.yourdomainhere.com,/api-catalog,200
sub23.yourdomainhere.com,/api-catalog,200
sub3.yourdomainhere.com,/lander,200
sub24.yourdomainhere.com,/,200
sub24.yourdomainhere.com,/click,200
sub23.yourdomainhere.com,/api/status,200
sub25.yourdomainhere.com,/,200
sub25.yourdomainhere.com,/api/status,200
sub26.yourdomainhere.com,/click,200
sub25.yourdomainhere.com,/api-catalog,200
sub26.yourdomainhere.com,/,200
sub25.yourdomainhere.com,/click,200
sub4.yourdomainhere.com,/lander,200
